"ProgramName","DemoURL","URL","Description","Types","ProvideDeptName","AgencyCodes","ContactAgency","ContactName","ContactEmail","Tel","Extension","PracticalCase","Teches","Authorization","VulnerabilityScan","ApiInfo"
"公托報名管理系統（後端）","","https://github.com/moda-gov-tw/civic-tech-experimental-field-find-babycare-backend;","本案為「112年數位發展部公民科技試驗場域示範案」由「一起加油陣線」團隊開發的「公托申請數位流程優化」透過與臺中市政府社會局的合作，提供既有公托申請流程解方，開發一申請公托的整合平臺，提供申請、查詢、審核及管理等功能。本案為示範案例尚未正式上線提供服務。","表單填寫/資料上傳;個案管理;地圖資訊呈現","數位發展部","A29000000G","數位發展部","張汶庭","karenwtchang@moda.gov.tw","(02)23800322","","","Vue.js;HTML/CSS;Javascript;PHP;MySQL;Laravel","","OWASP,;",""
"公托報名管理系統（前端）","","https://github.com/moda-gov-tw/civic-tech-experimental-field-find-babycare-frontend;","本案為「112年數位發展部公民科技試驗場域示範案」由「一起加油陣線」團隊開發的「公托申請數位流程優化」透過與臺中市政府社會局的合作，提供既有公托申請流程解方，開發一申請公托的整合平臺，提供申請、查詢、審核及管理等功能。本案為示範案例尚未正式上線提供服務。","表單填寫/資料上傳;個案管理;地圖資訊呈現","數位發展部","A29000000G","數位發展部","張汶庭","karenwtchang@moda.gov.tw","(02)23800322","","","Vue.js;HTML/CSS;Javascript;PHP;MySQL;Laravel","","OWASP,;",""
"數位憑證皮夾 發行端/驗證端服務模組","","https://github.com/moda-gov-tw/TWDIW-official-app/tree/main/core-system;","數位憑證皮夾技術架構概述
數位憑證皮夾以 安全與隱私保護 為核心設計理念，結合分散式識別（Decentralized Identity, DID）與可驗證憑證（Verifiable Credential, VC）技術，確保使用者的數位證件在任何情況下都能安全掌控。
 無論是資料儲存、授權驗證或跨機關互信，整體架構皆以「使用者自主、安全可信」為最高原則。
驗證三角架構
整體系統由三大核心元件構成：
●	數位憑證皮夾 App：安裝於使用者行動裝置，作為數位證件與憑證的載體。
●	發行端模組：由各機關或組織部署，負責簽發數位憑證。
●	驗證端模組：由受理單位部署，用以驗證使用者所出示的憑證真偽。
三者共同構築了安全、可信、分散式的「驗證三角」架構。
數位憑證皮夾 App 與發行端、驗證端服務間的所有互動，皆透過 App SDK 實現。","OID4VC;OID4VP;共用元件;共用程式配置","數位發展部","A29000000G","數位發展部","郭羽蓁","yujhen@moda.gov.tw","02-23800337","","","Java","","iForensics,發行端 OID4VCI 核心系統服務源碼檢測報告;iForensics,發行端 VC 核心系統服務源碼檢測報告;iForensics,驗證端 OID4VP 核心系統服務源碼檢測報告;iForensics,驗證端 VP 核心系統服務源碼檢測報告;","數位憑證皮夾發證端驗證端API,提供各中央與地方機關、公共服務業者及合作廠商於導入「數位憑證皮夾」生態系時所需的完整技術依據。透過統一的 API 介接規格，協助發行端、持有端與驗證端之間，以符合 OID4VCI 與 OID4VP 國際標準的方式安全交換 Verifiable Credential（VC）與 Verifiable Presentation（VP）。同時，本文件亦定義存取控制、交易追蹤與異常處理機制，確保跨單位整合時的安全性、可追溯性與法規遵循，支持政府及民間單位快速上線對應服務。,https://github.com/moda-gov-tw/TWDIW-official-app/blob/main/Docs/TWDIW_API_Specification.md;"
"消防設備自行申報自動排程系統(前端)","","https://github.com/shuanowenLiou/tt-reservation-2026-main-v2;","消防安全設備檢修線上申報系統，民眾可快速上傳申報書並追蹤案件進度，數位化管理讓審核更有效率。","簡易消防自主申報;數位化管理","數位發展部","A29000000G","數位發展部","張汶庭","karenwtchang@moda.gov.tw","02-23800322","","","Node.js;Javascript;MySQL;Python;React;Docker","","Fortify,OWASP 版本 OWASP Top 10 2021;",""
"災防資料彙整系統(後端)","","https://github.com/shuanowenLiou/tainan-ai-driven-data-hub-main-20251113T060529Z-1-001;","本案為「114年數發部公民科技試驗場域」專案，由「全部攏 ài 予我災」團隊與臺南市政府智慧發展中心共同合作開發之「災防資料彙整系統」。本系統協助市府單位在災害發生時，各局處可將初步彙整之災害統計資料以 excel表形式上傳，讓AI進行判讀轉為為統一json格式，並使用自然語言對話快速取得資料彙總結果。","表單填寫/資料上傳;管理功能;全域欄位設定;資料集設定;AI對話","數位發展部","A29000000G","數位發展部","張汶庭","karenwtchang@moda.gov.tw","02-23800322","","","Vue.js;Javascript;Tailwind CSS","","Fortify,OWASP 版本 OWASP Top 10 2021;",""
"兒童早療聯合評估門診待排人數線上查詢系統(後端)","","https://github.com/shuanowenLiou/dowcd-ei-main;","本案為「數位發展部公民科技試驗場域示範案」由「OneStep MAP」團隊開發的「兒童早療聯合評估門診待排人數線上查詢系統」，透過與桃園市政府婦幼局的合作，讓家長可即時查詢各醫院早療聯評門診的等候人數，並提供醫院個管師更新等候人數的管理介面及婦幼局工作人員的查詢後台。本案為示範案例尚未正式上線提供服務。","管理功能;排隊人數管理","數位發展部","A29000000G","數位發展部","張汶庭","karenwtchang@moda.gov.tw","02-23800322","","","Python","","Fortify,OWASP 版本 OWASP Top 10 2021;",""
"跑者驛站-友善運動地圖(前端)","","https://github.com/shuanowenLiou/run-meetup-hub-main;","本案為「數位發展部公民科技試驗場域示範案」由「MW RUN TEAM」團隊開發的「跑者驛站-友善運動地圖」，為一個團練／活動管理示範專案，主要功能是讓使用者建立、瀏覽並加入路跑或團體練習類活動，支援地圖視覺化活動位置、活動卡片列表、活動詳細頁面與活動建立介面。本案為示範案例尚未正式上線提供服務。","管理功能;活動卡片與列表;地圖視覺化","數位發展部","A29000000G","數位發展部","張汶庭","karenwtchang@moda.gov.tw","02-23800322","","","TypeScript;React","","Fortify,OWASP 版本 OWASP Top 10 2021;",""
"數位憑證皮夾 APP SDK","","https://github.com/moda-gov-tw/TWDIW-official-app/tree/main/APP/APPSDK;","數位憑證皮夾技術架構概述
數位憑證皮夾以 安全與隱私保護 為核心設計理念，結合分散式識別（Decentralized Identity, DID）與可驗證憑證（Verifiable Credential, VC）技術，確保使用者的數位證件在任何情況下都能安全掌控。
 無論是資料儲存、授權驗證或跨機關互信，整體架構皆以「使用者自主、安全可信」為最高原則。
驗證三角架構
整體系統由三大核心元件構成：
●	數位憑證皮夾 App：安裝於使用者行動裝置，作為數位證件與憑證的載體。
●	發行端模組：由各機關或組織部署，負責簽發數位憑證。
●	驗證端模組：由受理單位部署，用以驗證使用者所出示的憑證真偽。
三者共同構築了安全、可信、分散式的「驗證三角」架構。
數位憑證皮夾 App與發行端、驗證端服務間的所有互動，皆透過 App SDK 實現。","SD-JWT;P-256橢圓曲線加密;W3C DID;OID4VC;OID4VP","數位發展部","A29000000G","數位發展部","郭羽蓁","yujhen@moda.gov.tw","02-23800337","","","Flutter","","Fortify,;",""
"臺北程式設計節活動網站","https://codefest.taipei/welcome/","https://github.com/taipei-doit/codefest.taipei;","臺北市政府資訊局自112年起持續辦理「臺北程式設計節」之開源推廣活動，本次開發新版活動網站，供主辦單位發布活動資訊及開放使用者報名參加，將活動網站部署於雲端環境以提高靈活性，同時落實臺北市政府資訊局開源精神，開放原始碼及經營專案社群，以促進開發者交流回饋及達成開源公共程式的延續性。

本網站為活動報名網站模板，各機關可參考此網站模板進行利用開發。","競賽規則;重要時程;FAQ","臺北市政府資訊局","379730000A","臺北市政府資訊局","李冠弦","g60419@gov.taipei","02-27208889 ","51713","","Node.js;Nuxt;NPM","","SonarQube,;",""
"Yascms","https://www.bjes.tp.edu.tw","https://github.com/bjes/yascms;","學校網站系統","學校網站","臺北市中山區濱江國小","343611","臺北市中山區濱江國小","吳佳寰","william@bjes.tp.edu.tw","","","濱江國小,https://www.bjes.tp.edu.tw,無障礙檢測結果：無障礙標章申請中;","Python;MariaDB","AGPL 3.0","Fortify,移除test data後掃描，無中高以上風險;",""
